"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32267","SPEC: test","spec","2026-07-01","failed","2026-07-01","","_home/ideal/test-cases-navigation--desktop--registered--en.spec.ts","",""
"","8126","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","product_details/ideal/add-review--tablet--guest--en.spec.ts","",""
"","13224","SPEC: login — Register with existing email","spec","2026-07-01","passed","2026-07-01","","login/ideal/login-existing-email--desktop--guest--en.spec.ts","",""
"","5406","SPEC: test","spec","2026-07-01","passed","2026-07-01","","view_cart/ideal/remove-product--tablet--registered--en.spec.ts","",""
"","37332","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","_home/ideal/register-user--mobile--guest--en.spec.ts","",""
"","16890","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","products/ideal/search-product--desktop--registered--en.spec.ts","",""
"","13251","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","product_details/ideal/verify-product-detail--desktop--registered--en.spec.ts","",""
"","48787","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","_home/ideal/register-user--tablet--guest--en.spec.ts","",""
"","23839","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","product_details/ideal/verify-product-detail--mobile--guest--en.spec.ts","",""
"","23700","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","login/ideal/login-correct--mobile--guest--en.spec.ts","",""
"","34787","SPEC: product_details — Verify Product Detail","spec","2026-07-01","passed","2026-07-01","","product_details/ideal/verify-product-detail--desktop--guest--en.spec.ts","",""
"","5272","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","view_cart/ideal/remove-product--desktop--registered--en.spec.ts","",""
"","10646","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","_home/ideal/test-cases-navigation--desktop--registered--en.spec.ts","",""
"","13280","SPEC: login — Login correct credentials","mobile","2026-07-01","passed","2026-07-01","","login/ideal/login-correct--desktop--guest--en.spec.ts","",""
"","5527","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","login/ideal/login-existing-email--tablet--guest--en.spec.ts","",""
"","6150","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","contact_us/ideal/contact-us-form--tablet--guest--en.spec.ts","",""
"","5524","SPEC: test","spec","2026-07-01","passed","2026-07-01","","login/ideal/login-incorrect--mobile--guest--en.spec.ts","",""
"","9708","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","product_details/ideal/add-review--tablet--guest--en.spec.ts","",""
"","35117","SPEC: product_details — Add Review","desktop","2026-07-01","passed","2026-07-01","","product_details/ideal/add-review--desktop--guest--en.spec.ts","",""
"","5521","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","contact_us/ideal/contact-us-form--desktop--registered--en.spec.ts","",""
"","47201","SPEC: _home — Register User","mobile","2026-07-01","passed","2026-07-01","","_home/ideal/register-user--desktop--guest--en.spec.ts","",""
"","13677","SPEC: test","spec","2026-07-01","passed","2026-07-01","","_home/ideal/test-cases-navigation--mobile--guest--en.spec.ts","",""
"","20701","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","_home/ideal/subscription--mobile--guest--en.spec.ts","",""
"","8790","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","view_cart/ideal/remove-product--desktop--registered--en.spec.ts","",""
"","32279","SPEC: login — Login correct credentials","spec","2026-07-01","failed","2026-07-01","","login/ideal/login-correct--desktop--guest--en.spec.ts","",""
"","30248","SPEC: products — Verify All Products","mobile","2026-07-01","failed","2026-07-01","","products/ideal/verify-all-products--desktop--guest--en.spec.ts","",""
"","6085","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","view_cart/ideal/subscription-in-cart--desktop--registered--en.spec.ts","",""
